Serial Number,Filename,UUID,Sha256
1,adewale-the-amebo,cad316c3-37f8-4b27-9f53-9d803bfcfee7,f0cb30ebc3665cf7c058f81a28ee95eb781e4a956176128f34423d1dde876763
2,alli-the-queeny,a57ecda4-a26f-4e97-a757-e1800af39aab,fbf52825b95be5b8c101a68c1fc5f13f4ee0c8d761eaceaa46cffe91bca89647
3,aminat-the-snnobish,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,b5ab0505edbddd8c8c9536128643ce8ecae16146d8ae22d90653cd37dd05633c
4, ,4f30b751-96e7-40fe-97fd-e3d44973ff2f,1a1524607520401437c58c7aceb961614cdc81a33adfc4844526c099cc64af2a
5,chibuike-the-kudibag,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,c8619292e83e4be1649ad2e4d40659ad71842976a2b7098e0669b0fc3853c46a
6,chidinma-the-model,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,d819557c9743228b8f1f3227606ec014eed67e7ef0ef8d703d59bb99a7256fac
7,chioma-pretty- girl,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,3040a78b78e42cf2e7aff5ae5407eb8696d86c7c80b634e69e2d39a02ad6810c
8,damilare-the-handsome,27eca2dc-d7df-474a-8f8f-1858152c711e,6df08b6f4c8f2442b8baeb1722c3c6db2ed4c5ca4f1bb8216a3ff8cc067a40a3
9,ebiowie-the-planter,f1df8270-4d60-4bd4-8959-ba7c384db5c4,831e4f029991097667665e5d6359ba8a22330c52a15c693a4329dbb8bfaeb799
10,emeka-the-businessman,9b3d75da-4887-4089-aee4-50de3954fdc9,fa006564627b6e760d0b59cdc7d351d8eb4bd30abe183f792e4ffb11724fc995
11,gbeminyi-the-monk,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,81a2c34be6072a554d9fbac9e8875281087783878c0873916081dbe8c6939a72
12,henry-the-sportsman,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,762ac779f26bbcf10b29b33d4109cc00c454a567855a3c3ba676927b003369e3
13,mayowa-the-smallie,dfbb4163-df24-4d54-b74c-6218a68df8bd,b1e7087d0e220996575127d7338632225de999a24b7f5fa81a011677707dbc69
14,muyiwa-the-stylish,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,e51911cf42cd222f6c4d6fc7e7f0bb54e8e561359cf71c115d6b0fe66e722bd5
15,nina-paper-chaser,59524227-dc52-407c-8cca-e9e8c5fb3018,5b42acfb4084acf1bac0f92a598235894917b8540e02535568e24a27f7bfccda
16,oluwaseun-spicy,808f7007-6552-4efa-bd13-4b7c337b102b,641529606cb1bc46f42bb65cc77d771d5950ff5c903415ed0c246cc6a5d26502
17,sesan-the-smartie,ba3edda7-8940-4ca4-97ba-826398d5909f,46dc0f9759af2264af0bfe2c94b93a0738a52750f28b61de178dbef9d35f662f
18,tiwa-london,78da7aeb-8352-4e25-89ac-dc48b5984089,b9bcc794b9bf5ac6afac08e58eec529ae20e5891cb657c597b627662ce12716d
19,tunde-yoruba-demon,53b46bd7-a537-402b-b249-0b4074a8faae,00c81e47a8fe7aa79d634a6eb975524688bbee7d540998d9ca2d60c0cd6e9a2f
20,yakubu-the-zombie,4adb6781-1614-424e-8f77-fe59ffca2209,4f74813f4d2d39e3c2b57357f0506625431d398149961ec604d01b65be4b2ac7
21,abdul-the-vibe,770f817a-9d9a-4772-9a91-e66dd9d03470,e9b194bff7715062cfa06759fc6d13ce2cce145e85c0e1334bab9030e737a017
22,emeka-the -clown,78810fa6-a7ef-4d83-bf57-caf49db4ee69,7534b06cbe0729eef53cf84b9bd95fe6ed57aca5584f4b2058333e42b4492dc7
23,salam-the-odogwu,f2957ded-022c-4b07-92c6-b345d4816a67,80dd328f2f8b9172c426571dc236242256af7ef284bc9015528e19f87f37275c
24,charles-the-exporter,09395e76-19ed-4852-8748-795ee7496a8e,bbfcf009dded3bd7c37ff016fc716d8770d3d6ea83e092c6b876085d8b55a2bc
25,wole-the-pimp,4d94d4f7-9b69-4e43-9db1-1fe83df92857,5d1d4c49fa81e40225ef71517030cf8bbd14dfacadd69c9fc175cc19a7647288
26,saro-the-baller,d35a7514-8996-42fb-a5f2-5a603ec679c5,4e85155c857ff43f92169510848f8b3cdfe74c72d216d0807d1cdd04b31e151c
27,ade-omo-yoruba,92984fa0-310b-4377-8a10-15965d044383,06d1c704604c70f1cf846ff8c157c7a5f58d0eb0fbdc39eb5c2c7e9658815cbf
28,shola-cool kid,3ac5c186-bc14-4eb6-8567-cc818465a64f,97f742b023739fac43ea434db61e9990c4a4338dc8f8c4f72e1b1e4d4dec1650
29,charlie-the-smoker,71a0aa22-d111-43b7-8484-43d87310bc42,af518b0e75462665c4432217ffd06ee29949d56a6c75c1164936e2cc923b4632
30,femi-the-badguy,e493e3fb-a8a0-455a-854f-0f6474bbc69f,9c8cb17407b8404837f43a35da11d23977f7bf5ff24fcc01176b86a279b6e72f
31,sinzu-money,942f8347-9932-4331-bd15-d0f3a048b54f,a5bc8f01aa8163d697687541039f72ea7b5cb1129ee7463e140042242e225dc3
32,obinna-the-palmwine tapper,0f1af056-2548-4407-bed4-abc11deae05d,d1e9fc1cd6de1f2896297c07162af106c1994ba3aee5009294e124620e623862
33,,0129e7a5-e3d0-4675-92d0-1a1e55d11612,e2ba6d2ae8f690f5f13a3c7484407d831fb70c480ece40b113481994f87836e0
34,sabinus-the-town crier,01d4ce96-818e-44b1-8813-68a7d34b35ba,065be763dc71b0ca50d3040773c6fdc26c3054aa08ab0756d0710890090c5898
35,adisa-ibadan,3a925f27-35f6-4dbf-9960-c6527fae5f3e,c26962508a534ef64281625bbdb576d5272b2466d17b1363cb4b88488f5c28a7
36,linda-the-navigator,71f335a6-5a4f-4410-9cea-179336f0e498,cd456a4b7f3bb72732d95fbe08d0367b6965db21b5bc12aa184bb0a2bfc104ee
37,kemi-the-iron lady,35b11a31-5b92-49f4-8fb1-30f255d22054,463dcb10847296cc9a6740498262bfcb532b5cc6ba218531a0f2e993cdf6edfb
38,mercy-the-sassy lady,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,178475a7e9d9712ff63f402dbd8e845fa85a6b68bb16bc4f08267413107e28d0
39,sandra-money,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,da152b323543934b628c66978de1bf817127a8955e7fcd4c428e8c9e411900fe
40,bimpe-the-fashionista,92b548b7-998b-46b6-8198-80d407209483,48ff00492ff885ef3c2fab0ff9292a507dd92bb09ecd52c890b51473a851a11f
41,,,11318c84bfcb42499135454d8a47f3b3c292ccedaa1ed0c26c30eda5aa812630
